target,provider,lead,tmax,tmin,precip,wind
2026-09-18,icon,3,19.4,12.9,0.2,15.6
2026-09-18,icon,4,19.7,13.1,0.8,15.5
2026-09-18,icon,5,18.9,12.5,0.3,23.7
2026-09-18,icon,6,20,12.8,0,17.7
2026-09-18,ukmo,1,19.6,14.2,0,18.4
2026-09-18,ukmo,2,19.5,14.8,0,19.4
2026-09-18,ukmo,3,20.6,14.4,0.2,17.3
2026-09-18,ukmo,4,19.7,14.2,0,16.6
2026-09-18,ukmo,5,18.4,14,1.7,25.6
2026-09-18,ukmo,6,18.7,12.7,1.2,23.8
2026-09-19,arpege,1,23.5,11.4,0,21.7
2026-09-19,arpege,2,22.5,13.8,0,18.6
2026-09-19,arpege,3,21,13.2,0,23.4
2026-09-19,ecmwf,1,22,12.6,0,20.9
2026-09-19,ecmwf,2,21.9,13.1,0,20
2026-09-19,ecmwf,3,21.9,12.6,0.6,18.3
2026-09-19,ecmwf,4,21.5,11.5,0,19.8
2026-09-19,ecmwf,5,22.6,11.8,0,19.2
2026-09-19,ecmwf,6,20.6,12.6,0.9,23.4
2026-09-19,ecmwf,7,18.3,12.5,1.5,21.4
2026-09-19,gem,1,22.2,11.4,0,17.6
2026-09-19,gem,2,22,10.2,0,16.9
2026-09-19,gem,3,20.7,9.2,0,19.1
2026-09-19,gem,4,20.5,8,0,18.4
2026-09-19,gem,5,21.5,7.3,0,15.1
2026-09-19,gem,6,21.1,9.8,0,19.1
2026-09-19,gem,7,19.8,9.3,0,23
2026-09-19,gfs,1,22.5,12.8,0,18.8
2026-09-19,gfs,2,22.3,12.3,0,20.1
2026-09-19,gfs,3,19.4,11.7,0,21.5
2026-09-19,gfs,4,22.3,10.8,0,23.5
2026-09-19,gfs,5,20.9,11,0,15.1
2026-09-19,gfs,6,21.4,11.4,0,27
2026-09-19,gfs,7,22,10.8,0,27.5
2026-09-19,icon,1,21.8,12.4,0,15.6
2026-09-19,icon,2,20.3,13.1,0.3,13.1
2026-09-19,icon,3,19.3,12,0.2,13.2
2026-09-19,icon,4,22.4,11.9,0,15.8
2026-09-19,icon,5,20.4,10.5,0.9,17.3
2026-09-19,icon,6,19.5,12,0.8,19.7
2026-09-19,ukmo,1,21.1,13.6,0,20.2
2026-09-19,ukmo,2,21.9,14,0,18.7
2026-09-19,ukmo,3,20.1,13.9,0,19.8
2026-09-19,ukmo,4,22.3,12.8,0,19.4
2026-09-19,ukmo,5,21.3,11.5,0,21.6
2026-09-19,ukmo,6,19.4,12.6,0,22
2026-09-20,arpege,1,20.8,13.8,1.4,32.8
2026-09-20,arpege,2,21.9,12.8,0,29.5
2026-09-20,arpege,3,22.3,16,0.1,34.2
2026-09-20,ecmwf,1,22.1,13.5,1.8,30.1
2026-09-20,ecmwf,2,21.6,13.6,3,28.7
2026-09-20,ecmwf,3,19.7,13.6,4.2,29.3
2026-09-20,ecmwf,4,19.5,13,4.8,23.6
2026-09-20,ecmwf,5,19.5,12.9,2.4,24.3
2026-09-20,ecmwf,6,17.5,13.4,1.8,22.3
2026-09-20,ecmwf,7,20.1,13.9,3.3,18.2
2026-09-20,gem,1,20.6,13.4,1.6,30.6
2026-09-20,gem,2,20.6,13.1,3.2,38.2
2026-09-20,gem,3,22,11.9,4.4,31
2026-09-20,gem,4,20.5,13.6,0.8,25.9
2026-09-20,gem,5,21.4,13.3,0.3,26.6
2026-09-20,gem,6,20.6,8.3,0.1,28.1
2026-09-20,gem,7,23.2,14.8,0,20.2
2026-09-20,gfs,1,20.3,12.9,1.9,38.2
2026-09-20,gfs,2,20.9,12.7,0.2,35.2
2026-09-20,gfs,3,20.2,12.9,0.7,32.1
2026-09-20,gfs,4,20.6,13.4,0.4,32.4
2026-09-20,gfs,5,20.2,12.6,0.2,30.6
2026-09-20,gfs,6,23,11.9,0,14.9
2026-09-20,gfs,7,17.5,12.2,0.1,35.6
2026-09-20,icon,1,21.3,13.5,4.2,26.6
2026-09-20,icon,2,21.7,12.8,0.3,23
2026-09-20,icon,3,18.9,13.2,1.8,18.4
2026-09-20,icon,4,19.4,13.1,6.3,24
2026-09-20,icon,5,20.3,11.9,0.6,26.1
2026-09-20,icon,6,19.3,12.6,1.6,24.6
2026-09-20,ukmo,1,19.7,14.4,3.4,25.6
2026-09-20,ukmo,2,18.4,13.9,6.6,24.5
2026-09-20,ukmo,3,19.9,15.1,4.5,22
2026-09-20,ukmo,4,19.8,15.4,6.4,26.6
2026-09-20,ukmo,5,20.8,13.8,0.5,31
2026-09-20,ukmo,6,17.9,14.2,1.1,15.8
2026-09-21,arpege,1,17.1,11.8,1.7,31.6
2026-09-21,arpege,2,19,12.4,0,34
2026-09-21,arpege,3,18.6,13.1,0,27.2
2026-09-21,ecmwf,1,17.8,12.2,1.5,30.8
2026-09-21,ecmwf,2,17.4,11.8,1.2,30.4
2026-09-21,ecmwf,3,17.8,11.7,0,28.3
2026-09-21,ecmwf,4,18.1,11.5,0.3,28.7
